/* L = 32, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.606000;16795;7381868
0.606100;17026;7473942
0.606200;17060;7492240
0.606300;16981;7469221
0.606400;16974;7497122
0.606500;16998;7514354
0.606600;17178;7568270
0.606700;17053;7510547
0.606800;17104;7557465
0.606900;17136;7576975
0.607000;17202;7613930
0.607100;17300;7647926
0.607200;17323;7663804
0.607300;17413;7734207
0.607400;17346;7688010
0.607500;17429;7721806
0.607600;17454;7736737
0.607700;17374;7737960
0.607800;17567;7826378
0.607900;17594;7843462
0.608000;17375;7733247
0.608100;17595;7863925
0.608200;17622;7859753
0.608300;17643;7874020
0.608400;17647;7897221
0.608500;17629;7903894
0.608600;17665;7924359
0.608700;17706;7921574
0.608800;17742;7950455
0.608900;17744;7952636
0.609000;17766;7967143
0.609100;17629;7931302
0.609200;17960;8089869
0.609300;17990;8108750
0.609400;17924;8061406
0.609500;17709;7964467
0.609600;17840;8039684
0.609700;17864;8055586
0.609800;17891;8072422
0.609900;17998;8131391
0.610000;18018;8145519
0.610100;18050;8154576
0.610200;18139;8207287
0.610300;18217;8250298
0.610400;18239;8265734
0.610500;18210;8253601
0.610600;18234;8253560
0.610700;18253;8268733
0.610800;18225;8289183
0.610900;18224;8268596
0.611000;18350;8346579
0.611100;18371;8360693
0.611200;18254;8286171
0.611300;18318;8343939
0.611400;18344;8359935
0.611500;18314;8342128
0.611600;18431;8407782
0.611700;18319;8356367
0.611800;18350;8376196
0.611900;18510;8462398
0.612000;18413;8413516
0.612100;18438;8430027
0.612200;18642;8513750
0.612300;18657;8568071
0.612400;18631;8538472
0.612500;18658;8555287
0.612600;18575;8510935
0.612700;18679;8568467
0.612800;18705;8585739
0.612900;18660;8591987
0.613000;18740;8628703
0.613100;18768;8660091
0.613200;18796;8678966
0.613300;18820;8696748
0.613400;18975;8757098
0.613500;19001;8774262
0.613600;18936;8754209
0.613700;18830;8713690
0.613800;18926;8761598
0.613900;18945;8775399
0.614000;18966;8774348
0.614100;19068;8843968
0.614200;19095;8862860
0.614300;18875;8765968
0.614400;19118;8890067
0.614500;19175;8916900
0.614600;19193;8930223
0.614700;19133;8904006
0.614800;19233;8966918
0.614900;19250;8980320
0.615000;19248;8969370
0.615100;19218;8969068
0.615200;19209;8973762
0.615300;19236;8992769
0.615400;19184;8958439
0.615500;19378;9055869
0.615600;19393;9068513
0.615700;19326;9081742
0.615800;19364;9062715
0.615900;19613;9220345
0.616000;19635;9236750
0.616100;19522;9168140
0.616200;19449;9143720
0.616300;19475;9162310
0.616400;19666;9266015
0.616500;19528;9210571
0.616600;19539;9218455
0.616700;19564;9235219
0.616800;19635;9263322
0.616900;19614;9283870
