/* L = 64, Z = 27000 */
/* p;ocurrencias de percolacion;Masa promedio */
0.588100;11412;15589798
0.588200;11543;15793214
0.588300;11684;15979607
0.588400;11757;16097076
0.588500;11722;16114177
0.588600;11748;16121265
0.588700;11805;16214488
0.588800;11794;16297064
0.588900;11868;16376598
0.589000;11913;16466562
0.589100;12033;16645869
0.589200;11940;16524654
0.589300;11875;16501012
0.589400;12052;16741093
0.589500;12025;16740070
0.589600;12193;16953442
0.589700;12268;17156243
0.589800;12199;16949628
0.589900;12341;17202067
0.590000;12552;17641302
0.590100;12372;17263470
0.590200;12512;17513084
0.590300;12451;17436726
0.590400;12539;17622763
0.590500;12407;17393168
0.590600;12690;17894025
0.590700;12645;17902034
0.590800;12739;18012158
0.590900;12728;17932444
0.591000;12769;18008164
0.591100;12790;18189973
0.591200;12909;18367527
0.591300;12844;18221538
0.591400;13071;18578988
0.591500;12975;18437133
0.591600;13068;18579977
0.591700;12852;18328256
0.591800;13259;18928059
0.591900;13198;18886276
0.592000;13125;18832983
0.592100;13323;19106887
0.592200;13506;19378291
0.592300;13402;19293240
0.592400;13456;19346397
0.592500;13483;19428274
0.592600;13598;19624012
0.592700;13532;19591272
0.592800;13769;19946535
0.592900;13754;19940619
0.593000;13809;19975647
0.593100;13714;19878275
0.593200;13822;20032821
0.593300;13862;20207399
0.593400;13889;20263329
0.593500;13989;20426581
0.593600;14006;20418560
0.593700;14227;20871733
0.593800;14194;20756326
0.593900;14152;20845505
0.594000;14064;20593841
0.594100;14249;21009601
0.594200;14268;20952274
0.594300;14412;21289103
0.594400;14432;21228294
0.594500;14531;21489386
0.594600;14454;21311484
0.594700;14499;21427992
0.594800;14646;21734824
0.594900;14736;21952486
0.595000;14627;21792693
0.595100;14625;21723968
0.595200;14799;22090191
0.595300;14833;22049432
0.595400;14782;22091940
0.595500;14919;22315038
0.595600;15019;22493913
0.595700;15069;22590545
0.595800;14991;22490680
0.595900;15217;22880883
0.596000;15303;22996535
0.596100;15148;22791541
0.596200;15280;22997141
0.596300;15238;23022208
0.596400;15267;23127012
0.596500;15454;23339173
0.596600;15385;23324850
0.596700;15606;23683913
0.596800;15595;23637161
0.596900;15574;23676209
0.597000;15650;23810795
0.597100;15678;23914805
0.597200;15851;24160981
0.597300;15811;24155894
0.597400;15874;24328323
0.597500;15902;24288094
0.597600;15867;24343641
0.597700;15730;24085359
0.597800;15940;24398485
0.597900;15808;24372219
0.598000;16246;24930178
0.598100;16108;24775231
0.598200;16097;24879137
0.598300;16114;24916909
0.598400;16266;25156326
0.598500;16311;25282347
0.598600;16132;24998888
0.598700;16453;25477953
0.598800;16424;25482551
0.598900;16475;25625701
0.599000;16531;25721942
0.599100;16564;25852232
0.599200;16549;25787203
0.599300;16676;26036663
0.599400;16662;26109250
0.599500;16785;26320663
0.599600;16835;26432277
0.599700;16796;26336753
0.599800;16862;26592099
0.599900;16950;26672448
0.600000;16953;26719070
0.600100;17014;26907105
0.600200;16945;26707954
0.600300;17124;27067090
0.600400;17152;27168103
0.600500;17181;27327514
0.600600;17391;27536110
0.600700;17476;27849705
0.600800;17399;27713419
0.600900;17348;27632897
0.601000;17427;27813209
0.601100;17486;27867667
0.601200;17353;27779473
0.601300;17429;27851493
0.601400;17690;28397621
0.601500;17696;28377394
0.601600;17618;28344000
0.601700;17692;28439596
0.601800;17771;28613034
0.601900;17727;28593406
0.602000;17854;28892294
0.602100;17764;28606687
0.602200;17969;29000842
0.602300;18027;29250888
0.602400;18040;29292097
0.602500;17926;29126040
0.602600;18188;29547732
0.602700;18106;29312557
0.602800;18109;29396479
0.602900;18385;29986647
0.603000;18217;29693101
0.603100;18156;29627834
0.603200;18337;29964303
0.603300;18376;30119143
0.603400;18497;30275781
0.603500;18412;30165994
0.603600;18500;30326806
0.603700;18600;30656334
0.603800;18787;30944434
0.603900;18672;30793015
0.604000;18723;30884313
0.604100;18770;31010142
0.604200;18703;31005394
0.604300;18887;31253432
0.604400;18789;31056278
0.604500;18898;31397790
0.604600;18848;31297348
0.604700;18887;31394380
0.604800;18976;31555267
0.604900;18927;31601112
0.605000;19210;32099774
0.605100;19222;32158541
0.605200;19179;32051294
0.605300;19297;32309180
0.605400;19333;32399771
0.605500;19439;32650501
0.605600;19406;32635360
0.605700;19374;32657474
0.605800;19528;32899290
0.605900;19450;32762643
0.606000;19593;33125150
0.606100;19516;32990961
0.606200;19666;33324819
0.606300;19620;33274174
0.606400;19639;33191775
0.606500;19688;33378837
0.606600;19844;33681224
0.606700;19784;33754518
0.606800;19814;33778763
0.606900;19685;33558885
0.607000;19924;34092357
0.607100;19961;34124539
0.607200;20005;34185005
0.607300;19826;33990075
0.607400;19960;34268406
0.607500;20116;34521509
0.607600;20207;34693019
0.607700;20040;34502228
0.607800;20167;34791073
0.607900;20264;35034067
0.608000;20157;34790255
0.608100;20480;35415103
0.608200;20283;35051076
0.608300;20407;35391973
0.608400;20408;35407179
0.608500;20469;35454908
0.608600;20442;35524513
0.608700;20654;35860716
0.608800;20529;35698116
0.608900;20504;35759074
0.609000;20720;36145988
0.609100;20687;36114108
0.609200;20767;36313624
0.609300;20733;36308324
0.609400;20759;36391343
0.609500;20946;36747613
0.609600;20836;36608361
0.609700;20873;36697338
0.609800;20868;36720571
0.609900;20785;36555405
0.610000;20999;36985454
0.610100;20944;36968019
0.610200;21115;37369796
0.610300;21105;37320426
0.610400;21063;37265433
0.610500;21174;37519792
0.610600;21190;37663392
0.610700;21273;37799036
0.610800;21270;37819589
0.610900;21333;37907786
0.611000;21201;37646369
0.611100;21315;38031801
0.611200;21426;38237263
0.611300;21486;38388418
0.611400;21384;38217982
0.611500;21491;38527765
0.611600;21630;38728321
0.611700;21593;38829955
0.611800;21611;38874572
0.611900;21568;38791678
0.612000;21592;38856040
0.612100;21766;39334313
0.612200;21707;39205867
0.612300;21761;39244425
0.612400;21806;39428763
0.612500;21856;39586285
0.612600;21839;39629727
0.612700;21977;39832414
0.612800;21958;39852911
0.612900;21963;39844919
0.613000;21960;39931018
0.613100;21990;40144304
0.613200;21986;40127669
0.613300;22226;40525250
0.613400;22164;40425825
0.613500;22102;40390497
0.613600;22181;40601472
0.613700;22269;40831876
0.613800;22209;40745507
0.613900;22247;40790779
0.614000;22314;41038949
0.614100;22221;40813873
0.614200;22457;41402174
0.614300;22424;41382961
0.614400;22430;41398654
0.614500;22448;41463034
0.614600;22462;41587721
0.614700;22623;41944183
0.614800;22577;41795445
0.614900;22620;41991828
0.615000;22613;41999113
0.615100;22644;42074113
0.615200;22608;42062605
0.615300;22651;42202304
0.615400;22794;42505977
0.615500;22635;42219588
0.615600;22754;42455646
0.615700;22726;42427406
0.615800;22687;42383784
0.615900;22869;42841238
0.616000;22908;42941535
0.616100;22895;42909257
0.616200;22863;42940254
0.616300;23000;43215838
0.616400;23035;43343766
0.616500;23037;43407063
0.616600;22980;43308096
0.616700;22985;43406610
0.616800;22967;43345711
0.616900;23194;43939848
0.617000;23182;43930239
0.617100;23157;43897200
0.617200;23096;43757632
0.617300;23228;44131071
0.617400;23220;44068962
0.617500;23271;44275768
0.617600;23357;44459424
0.617700;23316;44484258
0.617800;23321;44581599
0.617900;23385;44594030
0.618000;23443;44737887
0.618100;23356;44643597
0.618200;23443;44874552
0.618300;23469;45026415
0.618400;23488;45074174
0.618500;23564;45247994
0.618600;23571;45352210
0.618700;23622;45452311
0.618800;23668;45625634
0.618900;23604;45495687
0.619000;23735;45796454
0.619100;23648;45680351
0.619200;23677;45819010
0.619300;23780;46024656
0.619400;23747;46052858
0.619500;23821;46213011
0.619600;23750;46055208
0.619700;23866;46412045
0.619800;23878;46540336
