/* L 6 Z 100000 */
/* probabilidad; segundo momento */
0.601900;8367608
0.602000;8364451
0.602100;8362474
0.602200;8360601
0.602300;8358372
0.602400;8356307
0.602500;8353017
0.602600;8376948
0.602700;8374949
0.602800;8372572
0.602900;8367368
0.603000;8364270
0.603100;8360294
0.603200;8358612
0.603300;8357464
0.603400;8374529
0.603500;8371761
0.603600;8368481
0.603700;8368025
0.603800;8368166
0.603900;8364983
0.604000;8363440
0.604100;8282302
0.604200;8280742
0.604300;8278279
0.604400;8276407
0.604500;8274990
0.604600;8271478
0.604700;8270411
0.604800;8267700
0.604900;8249014
0.605000;8244995
0.605100;8243412
0.605200;8240737
0.605300;8239393
0.605400;8237459
0.605500;8236387
0.605600;8235221
0.605700;8241470
0.605800;8239565
0.605900;8238963
0.606000;8236383
0.606100;8233010
0.606200;8231199
0.606300;8228573
0.606400;8271278
0.606500;8269623
0.606600;8265223
0.606700;8263347
0.606800;8262368
0.606900;8258909
0.607000;8256580
0.607100;8253205
0.607200;8224774
0.607300;8222246
0.607400;8217879
0.607500;8215920
0.607600;8214191
0.607700;8208583
0.607800;8203268
0.607900;8201155
0.608000;8188460
0.608100;8183114
0.608200;8180958
0.608300;8178454
0.608400;8174135
0.608500;8172247
0.608600;8169897
0.608700;8224226
0.608800;8222155
0.608900;8221729
0.609000;8220206
0.609100;8217433
0.609200;8213209
0.609300;8211949
0.609400;8207044
0.609500;8193033
0.609600;8189346
0.609700;8187658
0.609800;8184184
0.609900;8182188
0.610000;8178689
0.610100;8174414
0.610200;8171047
0.610300;8118760
0.610400;8115948
0.610500;8114026
0.610600;8110739
0.610700;8108941
0.610800;8103815
0.610900;8100036
0.611000;8097257
0.611100;8180108
0.611200;8177618
0.611300;8173579
0.611400;8172219
0.611500;8167523
0.611600;8165117
0.611700;8163566
0.611800;8041710
0.611900;8040249
0.612000;8037199
0.612100;8031896
0.612200;8029104
0.612300;8027401
0.612400;8024834
0.612500;8020763
0.612600;8088795
0.612700;8084242
0.612800;8079739
0.612900;8077543
0.613000;8073979
0.613100;8070012
0.613200;8068159
0.613300;8066107
0.613400;8091481
0.613500;8090830
0.613600;8089453
0.613700;8082242
0.613800;8078526
0.613900;8075324
0.614000;8070542
0.614100;8069011
0.614200;8050598
0.614300;8044845
0.614400;8041495
0.614500;8033318
0.614600;8027097
0.614700;8024628
0.614800;8022004
0.614900;8020262
0.615000;7990117
0.615100;7986765
0.615200;7981937
0.615300;7981293
0.615400;7978582
0.615500;7974523
0.615600;7975352
0.615700;7986880
0.615800;7984157
0.615900;7980988
0.616000;7978914
0.616100;7973873
0.616200;7970650
0.616300;7971187
0.616400;7969134
0.616500;7957053
0.616600;7955737
0.616700;7952074
0.616800;7949812
0.616900;7947654
0.617000;7944742
0.617100;7942443
0.617200;7942216
0.617300;7939209
0.617400;7938012
0.617500;7935026
0.617600;7933298
0.617700;7927524
0.617800;7925497
0.617900;7921148
0.618000;7918484
0.618100;7909904
0.618200;7906410
0.618300;7902954
0.618400;7897325
0.618500;7894772
0.618600;7892567
0.618700;7889671
0.618800;7904367
0.618900;7900539
0.619000;7897928
0.619100;7894286
0.619200;7892199
0.619300;7888866
0.619400;7885449
0.619500;7882412
0.619600;7926269
0.619700;7925484
0.619800;7922734
0.619900;7920532
0.620000;7913570
0.620100;7910298
0.620200;7905943
0.620300;7905436
0.620400;7872550
0.620500;7867798
0.620600;7864466
0.620700;7864423
0.620800;7860713
0.620900;7856480
0.621000;7853434
0.621100;7841493
0.621200;7836649
0.621300;7833866
0.621400;7830443
0.621500;7828779
0.621600;7825194
0.621700;7821177
0.621800;7817512
0.621900;7957576
0.622000;7952388
0.622100;7950631
0.622200;7949262
0.622300;7946549
0.622400;7943265
0.622500;7942240
0.622600;7939063
0.622700;7731124
0.622800;7724075
0.622900;7721585
0.623000;7718475
0.623100;7716863
0.623200;7714063
0.623300;7711219
0.623400;7702615
0.623500;7702163
